구간,출발지,경유지,도착지,주요 코스,거리(km),소요 시간,난이도
1구간,안면도 자연휴양림,"안면도 수목원, 방포해수욕장",백사장항,안면도 자연휴양림 ~ 안면도 수목원 ~ 방포해수욕장 ~ 백사장항,13.8,2시간 30분,2등급
2구간,백사장항,청포대해수욕장,몽산포해수욕장,백사장항 ~ 청포대해수욕장 ~ 몽산포해수욕장,12.1,2시간 30분,2등급
3구간,몽산포해수욕장,진산리 해변,태안읍행정복지센터,몽산포해수욕장 ~ 진산리 해변 ~ 태안읍행정복지센터,15.6,3시간 30분,3등급
4구간,태안읍행정복지센터,"흥주사, 오석산",팔봉산 주차장(어송리),태안읍행정복지센터 ~ 흥주사 ~ 오석산 ~ 팔봉산 주차장(어송리),12.2,3시간 15분,3등급
5구간,팔봉산 주차장,"금강산, 서산종합운동장",율목리마을,팔봉산 주차장 ~ 금강산 ~ 서산종합운동장 ~ 율목리마을,19.3,-,3등급
6구간,율목리마을,"간대산, 황소고개, 안국사지, 수당리, 성당초등학교",삼웅2리,율목리마을 ~ 간대산 ~ 황소고개 ~ 안국사지 ~ 수당리 ~ 성당초등학교 ~ 삼웅2리,19.1,-,2등급
7구간,삼웅2리,"대치리, 팔중리",용현리,삼웅2리 ~ 대치리 ~ 팔중리 ~ 용현리,11.8,-,2등급
8구간,용현리,"상가리, 옥계리, 대치리, 시량리",충의사,용현리 ~ 상가리 ~ 옥계리 ~ 대치리 ~ 시량리 ~ 충의사,18.6,-,3등급
9구간,충의사,"둔리, 수암산, 용봉산, 상하리, 중계리",이응노 생가,충의사 ~ 둔리 ~ 수암산 ~ 용봉산 ~ 상하리 ~ 중계리 ~ 이응노 생가,11.2,2시간 40분,2등급
10구간,이응노 생가,"홍천문화마을, 백월산, 황곡리",내포문화숲길 홍성센터(남장리),이응노 생가 ~ 홍천문화마을 ~ 백월산 ~ 황곡리 ~ 내포문화숲길 홍성센터(남장리),9.4,2시간 30분,3등급
11구간,내포문화숲길 홍성센터,"척괴마을, 그림같은수목원, 광천읍",오서산 상담마을,내포문화숲길 홍성센터 ~ 척괴마을 ~ 그림같은수목원 ~ 광천읍 ~ 오서산 상담마을,15.4,3시간 20분,3등급
12구간,오서산 상담마을,"정암사, 내원사, 기러기재",대현1리 마을회관,오서산 상담마을 ~ 정암사 ~ 내원사 ~ 기러기재 ~ 대현1리 마을회관,10.6,4시간 40분,2등급
47구간,오전약수 관광지,"박달령, 주실령, 국립백두대간수목원, 도심3리 마을회관",수진교,오전약수 관광지 ~ 박달령 ~ 주실령 ~ 국립백두대간수목원 ~ 도심3리 마을회관 ~ 수진교,18.2,4시간,3등급
48구간,수진교,"거포재, 한국산림과학고등학교",춘양면행정복지센터,수진교 ~ 거포재 ~ 한국산림과학고등학교 ~ 춘양면행정복지센터,10.9,2시간 20분,1등급
49구간,춘양면행정복지센터,부개재 고개,현동삼거리,춘양면행정복지센터 ~ 부개재 고개 ~ 현동삼거리,11.9,2시간 50분,2등급
50구간,현동삼거리,"현동3리마을숲, 분천리마을회관, 깊이박골",분천역,현동삼거리 ~ 현동3리마을숲 ~ 분천리마을회관 ~ 깊이박골 ~ 분천역,15.4,3시간 20분,3등급
51구간,분천역,"척구마을, 비동마을, 승부역, 양원역",전곡리 마을회관,분천역 ~ 척구마을 ~ 비동마을 ~ 승부역 ~ 양원역 ~ 전곡리 마을회관,15.2,3시간 30분,1~5등급
52구간,전곡리 마을회관,"전곡1길 갈림길, 큰넓재, 한나무재, 소광3교",소광2리(금강송펜션),전곡리 마을회관 ~ 전곡1길 갈림길 ~ 큰넓재 ~ 한나무재 ~ 소광3교 ~ 소광2리(금강송펜션),12,3시간 10분,3등급
53구간,소광2리(금강송펜션),"처진터재, 너삼밭재, 대광천, 주막터, 샛재(조령성황사), 찬물내기, 합수나달, 바릿재",두천1리(내성행상불망비),소광2리(금강송펜션) ~ 처진터재 ~ 너삼밭재 ~ 대광천 ~ 주막터 ~ 샛재(조령성황사) ~ 찬물내기 ~ 합수나달 ~ 바릿재 ~ 두천1리(내성행상불망비),13.2,3시간 20분,3~4등급
54구간,두천리(내성행상불망비),"안말래마을, 사기점, 돌머리삼거리, 보부천, 선바위",중섬마을,두천리(내성행상불망비) ~ 안말래마을 ~ 사기점 ~ 돌머리삼거리 ~ 보부천 ~ 선바위 ~ 중섬마을,17.5,3시간 40분,2~3등급
55구간,중섬마을,"전치마을, 한티재, 막금마을, 누금마을, 내앞마을, 구미마을, 성류굴입구, 망양정",망양정 해수욕장,중섬마을 ~ 전치마을 ~ 한티재 ~ 막금마을 ~ 누금마을 ~ 내앞마을 ~ 구미마을 ~ 성류굴입구 ~ 망양정 ~ 망양정 해수욕장,20,4시간 10분,2~3등급
